Vessel Code,Vessel Name,Speed,LSFO MT/D,HSFO MT/D,MGO MT/D,Port Stay LSFO,PS MGO,,,,,,,,,,,,,,,,,,
CUHC,CUL HOCHIMINH,11,11.5,11.5,,4.5,,,,,,,,,,,,,,,,,,,
,,11.5,12.6,12.6,,4.5,,,,,,,,,,,,,,,,,,,
,,12,14.2,14.2,,4.5,,,,,,,,,,,,,,,,,,,
,,12.5,16.2,16.2,,4.5,,,,,,,,,,,,,,,,,,,
,,13,17.2,17.2,,4.5,,,,,,,,,,,,,,,,,,,
,,13.5,19.3,19.3,,4.5,,,,,,,,,,,,,,,,,,,
,,14,20.9,20.9,,4.5,,,,,,,,,,,,,,,,,,,
,,14.5,22.9,22.9,,4.5,,,,,,,,,,,,,,,,,,,
,,15,25,25,,4.5,,,,,,,,,,,,,,,,,,,
,,15.5,27,27,,4.5,,,,,,,,,,,,,,,,,,,
,,16,29.1,29.1,,4.5,,,,,,,,,,,,,,,,,,,
CUSK,CUL SHEKOU,11,15,15,,4.5,,,,,,,,,,,,,,,,,,,
,,12,18,18,,4.5,,,,,,,,,,,,,,,,,,,
,,13,21,21,,4.5,,,,,,,,,,,,,,,,,,,
,,14,26,26,,4.5,,,,,,,,,,,,,,,,,,,
,,15,31,31,,4.5,,,,,,,,,,,,,,,,,,,
,,16,36,36,,4.5,,,,,,,,,,,,,,,,,,,
ZGNC,ZHONG GU NAN CHANG,11,19.2,,,5,,,,,,,,,,,,,,,,,,,
,,11.5,22.8,,,5,,,,,,,,,,,,,,,,,,,
,,12,25.8,,,5,,,,,,,,,,,,,,,,,,,
,,12.5,28.8,,,5,,,,,,,,,,,,,,,,,,,
,,13,32.3,,,5,,,,,,,,,,,,,,,,,,,
,,13.5,36,,,5,,,,,,,,,,,,,,,,,,,
,,14,40,,,5,,,,,,,,,,,,,,,,,,,
,,14.5,44.3,,,5,,,,,,,,,,,,,,,,,,,
,,15,47.8,,,5,,,,,,,,,,,,,,,,,,,
ZGYC,ZHONG GU YIN CHUAN,10,16.5,,,2.3,3.5,,,,,,,,,,,,,,,,,,
,,11,22.5,,,2.3,3.5,,,,,,,,,,,,,,,,,,
,,12,28,,,2.3,3.5,,,,,,,,,,,,,,,,,,
,,13,35,,,2.3,3.5,,,,,,,,,,,,,,,,,,
,,14,44,,,2.3,3.5,,,,,,,,,,,,,,,,,,
,,15,51,,,2.3,3.5,,,,,,,,,,,,,,,,,,
CUNS,CUL NANSHA,15,22.31,,,2,,,,,,,,,,,,,,,,,,,
,,16,25.22,,,2,,,,,,,,,,,,,,,,,,,
,,17,29.28,,,2,,,,,,,,,,,,,,,,,,,
,,18,35.76,,,2,,,,,,,,,,,,,,,,,,,
,,18.5,39.79,,,2,,,,,,,,,,,,,,,,,,,
BZCF,BZ CHONGFU,17,75,,0,10,,,,,,,,,,,,,,,,,,,
,,16,64,,0,10,,,,,,,,,,,,,,,,,,,
,,15,55,,4,10,,,,,,,,,,,,,,,,,,,
,,14,46,,4,10,,,,,,,,,,,,,,,,,,,
,,13,37,,4,10,,,,,,,,,,,,,,,,,,,
