snapshot_time,vessel,code,lane,rob_lsfo,rob_hsfo,rob_mgo,rob_ulsfo,rob_bw,rob_fw,found,report_time,sender
2026-08-27 10:26,CUL HAIPHONG,CUHP,ST3,91.28,0.0,168.1,0.0,2230.0,214.0,1,2026-08-27 01:26:47,culhaiphong@goodever.com.cn
2026-08-27 10:26,CUL XIAMEN,CUXM,HDT,70.31,0.0,51.25,0.0,2436.0,120.0,1,2026-08-26 12:29:41,culxiamen@CULINES.COM
2026-08-27 10:26,CUL YANGPU,CUYP,REX,437.49,0.0,90.57,0.0,4151.0,196.0,1,2026-08-26 12:38:20,culyangpu@CULINES.COM
2026-08-27 10:26,M. ODYSSEY,MODS,NSX,472.05,0.0,121.4,0.0,1450.0,245.0,1,2026-08-26 23:07:37,m.odyssey@canopus-mail.com
2026-08-27 10:26,CUL NANSHA,CUNS,CCT,363.3,0.0,85.69,0.0,3393.9,130.0,1,2026-08-27 04:32:54,culnansha@CULINES.COM
2026-08-27 10:26,CHANG SHENG JI 7,CSJ7,REX,279.72,,79.15,,6180.0,117.0,1,2026-08-26 15:24:34,changshengji7@sina.com
2026-08-27 10:26,ZHI YING HE SHUN,ZYHS,NP2,214.91,,44.76,,5230.0,196.0,1,2026-08-26 12:27:22,zhiyingheshun@lanbaoism.com
2026-08-27 10:26,BZ CHONGFU,BZCF,REX,3651.5230000000006,0.0,508.37699999999995,0.0,980.0,179.0,1,2026-08-26 17:50:33,bzchongfu@163.com
2026-08-27 10:26,CHANG SHENG JI 8,CSJ8,REX,299.1,,64.2,,7855.0,51.0,1,2026-08-26 17:16:03,changshengji8@sina.com
2026-08-27 10:26,CUL KLANG,CUKL,REX,114.14,647.88,108.67,0.0,5165.0,105.0,1,2026-08-26 12:17:17,culklang@CULINES.COM
2026-08-27 10:26,CUL LAEMCHABANG,CULC,REX,624.54,,116.58,,4700.0,92.0,1,2026-08-25 19:38:52,cullaemchabang@CULINES.COM
2026-08-27 10:26,DONG FANG MING HAI,DFMH,REX,,,,,,,0,,
2026-08-27 10:26,EVERLASTING HARVEST,EVHA,REX,743.231,,54.4,,3550.0,185.0,1,2026-08-26 15:30:43,everlasting.harvest@tcshipping.com.cn
2026-08-27 10:26,HAIAN MIND,HAMD,REX,1019.305,0.0,113.17,0.0,5300.0,216.0,1,2026-08-26 16:35:16,haianmind@haiants.vn
2026-08-27 10:26,HONG DA XIN 728,H728,REX,686.76,,242.86,,3807.4,175.0,1,2026-08-26 17:08:49,hongdaxin728@msatmail.com
2026-08-27 10:26,MAO GANG SHANG HAI,MGSH,REX,323.0,,79.7,,7013.0,154.0,1,2026-08-26 16:17:10,maogangshanghai@126.com
2026-08-27 10:26,SHENGTANG,SHTG,REX,605.91,,374.34,,6154.0,213.0,1,2026-08-25 16:55:12,shengtang178@163.com
2026-08-27 10:26,TEN VENUS,TNVN,REX,1326.75,,124.96,,1048.0,149.0,1,2026-08-26 16:07:50,tenvenus@gtmailplus.com
2026-08-27 10:26,TIGER LONGKOU,TGLK,REX,322.66,,178.71,,5658.0,236.0,1,2026-08-26 18:02:47,tiger.longkou@greathorse.com.cn
2026-08-27 10:26,WAN FU DA,WNFD,REX,1215.79,0.0,243.13,0.0,6068.0,337.0,1,2026-08-26 13:01:50,wanfuda668@126.com
2026-08-27 10:26,XING DONG 88,XD88,REX,83.9,0.0,191.7,0.0,3959.0,102.0,1,2026-08-27 05:17:03,xingdong88ship@163.com
