ship,code
ASR,ASRR
BAMSI BEYREK,BIBK
BZ CHONGFU,BZCF
CHANG SHENG JI 7,CSJ7
CHANG SHENG JI 8,CSJ8
CUL HAIPHONG,CUHP
CUL HOCHIMINH,CUHC
CUL HUANGPU,CUHA
CUL HUMEN,CUHM
CUL KLANG,CUKL
CUL LAEMCHABANG,CULC
CUL NANSHA,CUNS
CUL SHEKOU,CUSK
CUL XIAMEN,CUXM
CUL YANGPU,CUYP
DONG FANG MING HAI,DFMH
EVERLASTING HARVEST,EVHA
EXPRESS BERLIN,XPBL
FU YU,FUYU
HAIAN MIND,HAMD
HDX 728,H728
HONG DA XIN 728,H728
HUA DONG 811,H811
KAI DA HONG ZHOU,KDHZ
KR TASMAN,KRTM
M. MARINER,MMRN
M. ODYSSEY,MODS
MAO GANG SHANG HAI,MGSH
MEDKON LIA,MKLA
NEW THINKER,NWTR
RACINE,RACE
SHENGTANG,SHTG
STAR BLESSING,STBE
SUNNY 68,SY68
TEN VENUS,TNVN
TIGER LONGKOU,TGLK
WAN FU DA,WNFD
XING DONG 88,XD88
ZBM,CZBM
ZHI YING HE SHUN,ZYHS
ZHONG GU CHENG DU,ZGCD
ZHONG GU NAN CHANG,ZGNC
ZHONG GU YIN CHUAN,ZGYC
ZHONG GU ZHU HAI,ZGZH
ZHONG LIAN SHAN TOU,ZLST
